Datetime UTC;Load;PpvCF;Temp;Wind
01/01/2013 00:00;1353;0;10.63;9.48
01/01/2013 01:00;1205;0;10.59;9.99
01/01/2013 02:00;1110;0;10.56;10.5
01/01/2013 03:00;1063;0;10.52;11.01
01/01/2013 04:00;1025;0;10.28;11.02
01/01/2013 05:00;1032;0;10.05;11.03
01/01/2013 06:00;1034;0;9.81;11.05
01/01/2013 07:00;1052;0;9.77;11.23
01/01/2013 08:00;1112;0;9.72;11.41
01/01/2013 09:00;1215;0.22665;9.68;11.59
01/01/2013 10:00;1269;0.00494;9.85;11.1
01/01/2013 11:00;1284;0.04631;10.02;10.61
01/01/2013 12:00;1279;0.40985;10.19;10.12
01/01/2013 13:00;1226;0.18122;10.27;10.23
01/01/2013 14:00;1165;0.06962;10.34;10.33
01/01/2013 15:00;1116;0.10865;10.41;10.43
01/01/2013 16:00;1106;0.01612;10.44;10.66
01/01/2013 17:00;1210;0;10.47;10.9
01/01/2013 18:00;1327;0;10.5;11.13
01/01/2013 19:00;1390;0;10.6;10.81
01/01/2013 20:00;1382;0;10.69;10.49
01/01/2013 21:00;1589;0;10.79;10.17
01/01/2013 22:00;1654;0;10.98;9.47
01/01/2013 23:00;1469;0;11.17;8.78
02/01/2013 00:00;1288;0;11.36;8.08
02/01/2013 01:00;1141;0;11.33;8.12
02/01/2013 02:00;1052;0;11.3;8.17
02/01/2013 03:00;1010;0;11.27;8.21
02/01/2013 04:00;1002;0;11.31;7.57
02/01/2013 05:00;994;0;11.35;6.93
02/01/2013 06:00;1001;0;11.39;6.29
02/01/2013 07:00;1043;0;11.43;6.07
02/01/2013 08:00;1164;0;11.46;5.85
02/01/2013 09:00;1230;0.012;11.5;5.63
02/01/2013 10:00;1270;0.02196;11.6;6.51
02/01/2013 11:00;1246;0.02058;11.71;7.39
02/01/2013 12:00;1278;0.04362;11.81;8.28
02/01/2013 13:00;1210;0.15562;11.87;7.83
02/01/2013 14:00;1111;0.04284;11.93;7.38
02/01/2013 15:00;1049;0.03114;11.98;6.94
02/01/2013 16:00;1039;0.00678;12.02;6.95
02/01/2013 17:00;1109;0;12.06;6.97
02/01/2013 18:00;1227;0;12.09;6.98
02/01/2013 19:00;1262;0;12.11;6.74
02/01/2013 20:00;1223;0;12.14;6.51
02/01/2013 21:00;1388;0;12.16;6.28
02/01/2013 22:00;1470;0;12.17;6.12
02/01/2013 23:00;1294;0;12.18;5.96
03/01/2013 00:00;1077;0;12.2;5.81
03/01/2013 01:00;950;0;12.02;5.88
03/01/2013 02:00;898;0;11.85;5.95
03/01/2013 03:00;863;0;11.68;6.03
03/01/2013 04:00;839;0;11.68;5.57
03/01/2013 05:00;847;0;11.68;5.12
03/01/2013 06:00;855;0;11.68;4.66
03/01/2013 07:00;916;0;11.69;4.79
03/01/2013 08:00;1018;0;11.7;4.91
03/01/2013 09:00;1092;0.01664;11.71;5.03
03/01/2013 10:00;1108;0.02754;11.69;5.05
03/01/2013 11:00;1150;0.02684;11.68;5.06
03/01/2013 12:00;1181;0.04434;11.66;5.08
03/01/2013 13:00;1110;0.04966;11.4;5.12
03/01/2013 14:00;1080;0.01139;11.14;5.17
03/01/2013 15:00;1027;0.02761;10.88;5.21
03/01/2013 16:00;1002;0;10.94;4.95
03/01/2013 17:00;1072;0;11.01;4.68
03/01/2013 18:00;1178;0;11.08;4.41
03/01/2013 19:00;1179;0;11.19;4.58
03/01/2013 20:00;1135;0;11.31;4.75
03/01/2013 21:00;1317;0;11.42;4.92
03/01/2013 22:00;1376;0;11.5;4.12
03/01/2013 23:00;1221;0;11.59;3.31
04/01/2013 00:00;1029;0;11.68;2.51
04/01/2013 01:00;902;0;11.62;3.12
04/01/2013 02:00;833;0;11.57;3.72
04/01/2013 03:00;815;0;11.51;4.33
04/01/2013 04:00;824;0;11.48;4.66
04/01/2013 05:00;829;0;11.46;4.99
04/01/2013 06:00;840;0;11.43;5.32
04/01/2013 07:00;918;0;11.48;5.48
04/01/2013 08:00;992;0;11.53;5.63
04/01/2013 09:00;1029;0.00143;11.58;5.78
04/01/2013 10:00;1083;0.01922;11.57;6.13
04/01/2013 11:00;1118;0.02829;11.55;6.48
04/01/2013 12:00;1095;0.02616;11.54;6.83
04/01/2013 13:00;1039;0.0363;11.31;7
04/01/2013 14:00;1013;0.04004;11.08;7.18
04/01/2013 15:00;981;0.03482;10.85;7.35
04/01/2013 16:00;1010;0;10.85;7.51
04/01/2013 17:00;1032;0;10.85;7.66
04/01/2013 18:00;1130;0;10.85;7.82
04/01/2013 19:00;1124;0;10.84;7.83
04/01/2013 20:00;1110;0;10.83;7.84
04/01/2013 21:00;1299;0;10.82;7.85
04/01/2013 22:00;1371;0;10.82;7.81
04/01/2013 23:00;1199;0;10.82;7.77
05/01/2013 00:00;1014;0;10.83;7.72
05/01/2013 01:00;885;0;10.95;7.69
05/01/2013 02:00;837;0;11.08;7.65
05/01/2013 03:00;807;0;11.21;7.61
05/01/2013 04:00;811;0;11.14;7.4
05/01/2013 05:00;807;0;11.08;7.18
05/01/2013 06:00;808;0;11.01;6.97
05/01/2013 07:00;847;0;10.95;7.08
05/01/2013 08:00;948;0;10.89;7.2
05/01/2013 09:00;992;0.04956;10.84;7.31
05/01/2013 10:00;993;0.06324;10.73;6.96
05/01/2013 11:00;995;0.06715;10.61;6.61
